Plant_Name,Location,Operator,Capacity_MW,Commission_Date,Nuclear_Type,Reactor_Type,Fuel_Type,Annual_Output_GWh,Status
Jones-Key,"19329 Courtney Inlet Apt. 727
Farrellstad, AL 44664","Barry, Powell and Le",1019,2000-11-05,Boiling Water Reactor,Heavy Water Reactor,Uranium,1230,Under Construction
Hurst PLC,"706 Foster Springs Suite 191
Kimberlyton, SD 11143",Ross-Garcia,1460,2017-08-14,Boiling Water Reactor,Heavy Water Reactor,Uranium,3497,Decommissioned
Nunez Inc,"32644 Price Port Apt. 209
Vincentburgh, FM 53957","Harper, Thomas and Mclaughlin",1786,2008-04-30,Fast Breeder Reactor,Light Water Reactor,Plutonium,2644,Decommissioned
Lucas-Robertson,"534 Huang Crossroad
Amandaland, TN 88358",Rodriguez LLC,1304,2013-11-09,Boiling Water Reactor,Light Water Reactor,Thorium,3231,Under Construction
Nguyen LLC,"28401 Ian Parks
Caitlinport, NC 63031",Maldonado-Stewart,1798,2022-11-07,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,1498,Decommissioned
Rodriguez-Armstrong,"53457 John Knoll
Andrewport, MN 10678",Fischer-Sullivan,606,2008-03-27,Boiling Water Reactor,Light Water Reactor,Plutonium,4392,Operational
Butler Ltd,"071 David Unions
Reynoldsville, ID 96081",Carter and Sons,1500,2001-12-08,Fast Breeder Reactor,Light Water Reactor,Plutonium,2296,Under Construction
Miller Inc,"1727 Roberts Cliffs Suite 318
East Dustin, KS 81246",Taylor-Martin,664,2005-11-02,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,2596,Decommissioned
Evans-Nguyen,"127 Hatfield View Apt. 511
Richardside, ID 72915",Mcgrath-Hall,983,2004-01-15,Fast Breeder Reactor,Heavy Water Reactor,Uranium,1469,Operational
Ibarra-Mitchell,"651 Potts Park
New Douglas, PW 26190",Jones Group,1227,2008-01-20,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,3454,Decommissioned
"Whitaker, Ochoa and Steele","3941 Paul Trace Apt. 439
Kariberg, IL 00798","Hanson, Perez and Lopez",1997,2001-03-08,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,2866,Under Construction
"Murray, Ramirez and Martinez","204 Simmons Divide
North James, KS 92091","Torres, Wilcox and Wright",1743,2022-11-18,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,2088,Under Construction
Vega Inc,"23736 Mark Ridge Suite 634
Nobleshire, TN 09445",Gordon and Sons,961,2002-12-16,Fast Breeder Reactor,Light Water Reactor,Thorium,4234,Operational
"Randall, Allen and Evans","Unit 6068 Box 2094
DPO AE 52753",Taylor Ltd,1281,2015-01-07,Fast Breeder Reactor,Heavy Water Reactor,Uranium,1199,Operational
Martin-Ruiz,"8849 David Freeway Apt. 179
Carlmouth, IL 74721",Matthews-Rodriguez,1450,2008-06-08,Fast Breeder Reactor,Light Water Reactor,Uranium,4569,Under Construction
"Jimenez, Edwards and Wright","366 Ortiz Harbor
East Sarah, LA 44104",Henderson-Chen,1711,2017-04-08,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,3056,Operational
"Gomez, Hudson and Jones","3885 Tammy Rapid
Barneston, AL 56011","Wilson, Sanders and Smith",1004,2001-08-30,Pressurized Water Reactor,Light Water Reactor,Thorium,3207,Operational
"Chavez, Patterson and Chaney","74244 Holmes Canyon Suite 402
Port Garrettborough, AZ 59561",Smith PLC,1616,2001-07-24,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,1127,Decommissioned
"Olsen, Arnold and Leonard","PSC 5505, Box 1438
APO AP 02515",Johnson-Shaw,1112,2001-10-24,Boiling Water Reactor,Light Water Reactor,Thorium,1571,Operational
"Nguyen, Ruiz and Navarro","PSC 0667, Box 0649
APO AA 85376",Reed Ltd,1121,2001-03-21,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,2008,Under Construction
Wallace Inc,"77625 Stephanie Glen
Jameston, MS 01571",Caldwell LLC,1897,2017-06-11,Boiling Water Reactor,Heavy Water Reactor,Uranium,2630,Under Construction
"Taylor, Johnson and Walker","2531 Eric Square
East Donaldtown, ME 40801",Cain-Jones,1519,2013-02-26,Boiling Water Reactor,Gas-cooled Reactor,Thorium,3747,Under Construction
Marshall Ltd,"371 Jaclyn Fords Suite 185
Lake Daniellehaven, KS 88811","Carroll, Adams and Roberson",970,2021-12-14,Boiling Water Reactor,Heavy Water Reactor,Uranium,2511,Under Construction
Hayes-Martinez,"8534 Kristin Plain
East Ryan, WV 14107","Espinoza, Ball and York",1414,2005-06-03,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,4103,Operational
Cox Ltd,"9366 Cardenas Squares Apt. 279
Port Bradleyport, TN 55534",Hernandez-Allen,810,1996-10-24,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1654,Operational
"Lopez, White and Jones","20208 Martin Brooks
Michaelstad, ME 26468",Holt Ltd,1941,2007-09-29,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,1978,Operational
Wallace Ltd,"18020 Brooks Run Suite 872
Ryanfort, MH 52920","Watts, Hammond and Benton",1028,2020-08-14,Fast Breeder Reactor,Light Water Reactor,Plutonium,1469,Under Construction
"Key, Reed and Hall","109 Jeff Bypass Apt. 402
Martinezside, GA 64606",Wood-Walker,793,2018-06-22,Boiling Water Reactor,Light Water Reactor,Uranium,2654,Decommissioned
Larson LLC,"70754 Jessica Walk Suite 861
Jeffreyview, FM 52999","Morgan, Ochoa and Brown",833,2008-08-23,Boiling Water Reactor,Light Water Reactor,Thorium,4300,Operational
Carter-Weeks,"395 Smith Skyway Apt. 121
Comptonburgh, AL 79981",Smith-Martin,1022,2003-09-08,Boiling Water Reactor,Light Water Reactor,Plutonium,3130,Decommissioned
Salazar-Garcia,"094 Maria Stream
South Lauren, KS 23281",Reynolds Inc,1958,2008-12-27,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,3570,Under Construction
White Inc,"6526 Anderson Squares
Port Jennifermouth, OR 44248",Williams PLC,1238,1999-04-12,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,3558,Decommissioned
Gordon-Knight,"264 Robert Highway
Gomezchester, MO 00561","Clark, Alvarado and Pratt",1354,2009-11-03,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,3156,Operational
Terry LLC,"723 Ronnie Loaf Apt. 404
East Robert, GU 82420",Compton LLC,2000,2020-10-27,Pressurized Water Reactor,Light Water Reactor,Thorium,2233,Decommissioned
"Ellis, Pearson and Mason","17437 Matthew Streets
Dunnton, CT 39878","Stein, Roberts and Hall",1022,2013-12-13,Pressurized Water Reactor,Heavy Water Reactor,Uranium,2512,Decommissioned
Wells-Stone,"89112 Flores River
Port Timothy, CA 93233",Grant LLC,856,2022-10-06,Fast Breeder Reactor,Light Water Reactor,Plutonium,4924,Decommissioned
Torres LLC,"399 Obrien Wall Suite 310
South John, MN 59372",Hudson Inc,1384,1997-06-16,Boiling Water Reactor,Gas-cooled Reactor,Uranium,1651,Decommissioned
Smith LLC,"4416 Tristan Rapid
New Nicole, WI 52646",Young Ltd,838,2020-01-20,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,2319,Under Construction
Jackson and Sons,"5797 Diane Summit Suite 299
Port Bethany, OH 68033",Ramsey Group,892,2006-04-03,Boiling Water Reactor,Heavy Water Reactor,Plutonium,4285,Decommissioned
Jordan-Reynolds,"76997 Jennifer Inlet
Allenmouth, NV 39811",Rosales PLC,584,2011-08-16,Boiling Water Reactor,Light Water Reactor,Thorium,2194,Operational
Sexton and Sons,"530 Kenneth Flat
Robertfort, PA 18688",Thomas and Sons,1925,2008-05-25,Boiling Water Reactor,Gas-cooled Reactor,Uranium,1609,Operational
Reyes-Bennett,"06944 Hayes Stream
Douglasview, VT 25418",Montoya Inc,1151,2017-01-25,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,3698,Under Construction
Phillips PLC,"288 Hunter Row Suite 932
Bethanyton, WA 61314",Cruz-Ortiz,1604,2017-06-02,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,4951,Operational
Buck-Crawford,"USNS Ryan
FPO AE 67777","Carey, Hughes and Monroe",1530,2005-10-16,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,2769,Decommissioned
Wright-Heath,"70283 Vargas Gardens
Derekview, PA 85492",Howell-Harris,1037,2000-06-24,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,2987,Under Construction
Wade-Castillo,"493 Randall Mission
West Misty, MN 89495",James-Lopez,1999,2022-08-22,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,1086,Decommissioned
Rocha LLC,"5303 Jeremy Loop Apt. 753
Longfort, WI 94032",Lee-Ballard,1647,2000-07-23,Boiling Water Reactor,Heavy Water Reactor,Uranium,3341,Under Construction
Nichols Group,"22817 Sims Curve Suite 418
South Christopher, NY 36481",Lopez-Cox,760,2013-02-22,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,4911,Under Construction
Hughes-Davis,"13923 Hernandez Forges Suite 121
Hernandezton, MP 91634",Fuller PLC,1951,1999-08-09,Fast Breeder Reactor,Heavy Water Reactor,Uranium,1342,Operational
House and Sons,"22960 Butler Camp
Jensenmouth, PA 52755",Murray-Walls,997,2013-05-29,Boiling Water Reactor,Heavy Water Reactor,Uranium,3295,Operational
Garcia-Bradshaw,"17006 Lee Manor
East Darin, PA 31779","Gross, Wallace and Archer",1030,2019-09-05,Pressurized Water Reactor,Light Water Reactor,Plutonium,3963,Operational
"Andersen, Harris and Gonzalez","PSC 5550, Box 7367
APO AA 33088","Phelps, Logan and Martin",663,2016-04-14,Boiling Water Reactor,Light Water Reactor,Thorium,2263,Decommissioned
Young LLC,"USNS Robinson
FPO AA 31043","Alexander, Anderson and Lopez",1717,2005-09-08,Fast Breeder Reactor,Light Water Reactor,Thorium,2598,Under Construction
Padilla Group,"USNS Banks
FPO AP 42005",Ferguson LLC,1613,2002-10-11,Fast Breeder Reactor,Light Water Reactor,Thorium,3217,Under Construction
Parker and Sons,"9209 Brown Trafficway Suite 877
Melissaside, NE 76990",Lopez-Marks,1695,2000-07-13,Boiling Water Reactor,Heavy Water Reactor,Thorium,3985,Decommissioned
"Hayes, Lee and Spears","880 James Forges Suite 798
Jorgeton, TN 17970",Hayes-Fritz,1773,2001-12-22,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,3431,Under Construction
Mason Ltd,"768 Steven Burgs Apt. 021
Robertsonmouth, TN 08682",Gomez LLC,745,2016-02-08,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,4255,Decommissioned
"Crawford, Shepherd and Wagner","5485 Christopher Hill
North Steven, AK 26694",Hart Inc,719,2014-09-25,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,1724,Decommissioned
"Singh, Cook and Anderson","202 Kristin Stravenue Apt. 611
Margaretbury, FM 69451",Savage-Reyes,1157,2004-08-20,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,1167,Decommissioned
Garcia-Jenkins,"3661 Parks Views Apt. 207
Sarahshire, VT 64310",Wilson PLC,1743,2011-09-14,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,3745,Operational
Lam Group,"6613 Yang Wall
New Madisonville, SD 33785","Bowers, Black and Johnson",544,2019-06-06,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,1294,Decommissioned
"Johnson, Chen and Scott","6969 Ashley Causeway
Port Travisstad, TN 30994",Dennis-Merritt,1221,2005-09-05,Fast Breeder Reactor,Light Water Reactor,Thorium,1985,Decommissioned
Shannon-English,"012 Jones Highway Apt. 600
Port Arthurfort, AS 25910",Curtis-Murphy,1560,2006-03-31,Boiling Water Reactor,Gas-cooled Reactor,Uranium,2432,Decommissioned
Hancock Group,"57335 James Route Apt. 582
Williamstad, AZ 28972","Wright, Baird and Ward",1592,2016-03-13,Pressurized Water Reactor,Light Water Reactor,Plutonium,2565,Operational
"Garcia, Scott and Cruz","00538 Natalie Parkway
Donaldton, OR 32460",Hendricks Group,1080,2004-09-10,Boiling Water Reactor,Gas-cooled Reactor,Uranium,3282,Operational
"Johnson, Armstrong and Bowman","436 Bennett Walks Apt. 416
Haynesview, CT 02720","Sanchez, Davis and Fox",822,1994-08-21,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,2171,Under Construction
Jackson Ltd,"81682 Joseph Bridge Suite 759
Lake Samanthachester, PR 58188",Rosales PLC,1735,1994-03-12,Boiling Water Reactor,Light Water Reactor,Thorium,1668,Operational
"Mccormick, Anthony and Gaines","Unit 0603 Box 1592
DPO AE 13622",Wolfe-Willis,1928,2012-05-02,Fast Breeder Reactor,Heavy Water Reactor,Thorium,1328,Operational
Jones PLC,"1200 Megan Square Suite 006
Port Greg, OK 93384",Keith Inc,1632,2002-01-16,Fast Breeder Reactor,Light Water Reactor,Thorium,3603,Under Construction
Weaver-Maxwell,"581 Kenneth Path Suite 687
Danielstad, GU 36233",Nixon-Mosley,1908,1997-10-10,Boiling Water Reactor,Light Water Reactor,Plutonium,4142,Operational
Long-Garcia,"72166 Daniel River
Port Gerald, VA 75437",Brown-Hill,1259,2011-05-23,Boiling Water Reactor,Heavy Water Reactor,Plutonium,3810,Decommissioned
Petersen-Murphy,"2260 Shepard Curve
North Kimberly, SC 06641",Sanchez-Neal,810,2003-05-10,Fast Breeder Reactor,Heavy Water Reactor,Thorium,4798,Under Construction
Richardson LLC,"399 Mcdonald Ville Apt. 050
Michelleton, OH 45234","Lewis, Morris and Schmidt",607,2012-10-04,Pressurized Water Reactor,Heavy Water Reactor,Thorium,2885,Under Construction
"Chandler, Fuller and Saunders","4511 Andrea Mill
Jacobmouth, IN 63518",Franklin-Warren,859,1999-07-23,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,4562,Decommissioned
"Mueller, Robinson and Newman","17834 King Islands
East Anthonystad, WV 49550",Davis and Sons,1340,2012-06-23,Boiling Water Reactor,Heavy Water Reactor,Plutonium,3046,Decommissioned
Flores-Hill,"5576 Daugherty Circle
Carolynfort, IA 78897","Lopez, Conley and Chandler",1910,2012-11-22,Boiling Water Reactor,Light Water Reactor,Uranium,2340,Operational
Prince and Sons,"USNV Salinas
FPO AP 21646",Andersen and Sons,1777,2020-02-01,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,3167,Under Construction
James-White,"Unit 1800 Box 1428
DPO AP 81667",Stevenson-Jackson,1029,2022-09-16,Boiling Water Reactor,Gas-cooled Reactor,Uranium,1938,Decommissioned
Arnold Ltd,"007 James Stream
South Brooke, CO 76816","Wright, Sutton and Clayton",795,2010-11-29,Pressurized Water Reactor,Light Water Reactor,Plutonium,2223,Under Construction
Byrd PLC,"5986 Thompson Park Apt. 896
Benjaminshire, NE 26650","Williamson, Herrera and Taylor",604,2001-03-07,Fast Breeder Reactor,Heavy Water Reactor,Uranium,4585,Under Construction
Jacobs-Adams,"4782 James Garden
Lewischester, MP 06102","Smith, Phillips and Riggs",1851,2005-05-19,Boiling Water Reactor,Heavy Water Reactor,Uranium,2885,Operational
Fisher Group,"2511 Tate Inlet
Thomasburgh, GA 84199",Harris-Rodriguez,894,2016-04-26,Pressurized Water Reactor,Heavy Water Reactor,Thorium,2000,Operational
Rodriguez LLC,"9721 Michael Springs Apt. 053
Port Evanland, WA 35110","Owens, Goodman and Beard",809,2022-08-18,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1231,Operational
Chang Inc,"37940 Arroyo Fords Suite 387
New Bryan, IN 12794","Reyes, Calhoun and Zuniga",626,2004-02-10,Boiling Water Reactor,Light Water Reactor,Uranium,3480,Under Construction
"Best, Ramos and Watts","980 Hines Trail Apt. 714
Alvaradohaven, MO 15103",Miller Inc,1646,1995-05-04,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,4352,Under Construction
Baker-Ferguson,"344 Smith Shore
East Charles, NY 87163",Carter Inc,1098,1995-05-10,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,3453,Decommissioned
"Joyce, Madden and Leblanc","51739 Lee Gateway Suite 127
Manningside, DE 09759",Zuniga PLC,817,2013-03-01,Boiling Water Reactor,Heavy Water Reactor,Plutonium,2679,Decommissioned
Lopez LLC,"PSC 3219, Box 6562
APO AP 48938",Patel Ltd,1650,1994-06-17,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,3014,Decommissioned
Davis-Rodriguez,"19988 Daniels Spurs Suite 229
Francisburgh, IL 86320",Rodriguez-Hart,1193,1995-11-27,Fast Breeder Reactor,Light Water Reactor,Plutonium,1791,Under Construction
Gonzalez Ltd,"70886 Coleman Orchard
Townsendville, WY 53992","Johnson, Campbell and King",1913,2009-08-23,Boiling Water Reactor,Light Water Reactor,Plutonium,4737,Decommissioned
Klein PLC,"0678 Keith Via Apt. 755
Deborahhaven, GU 30021","Edwards, Knight and Wilkerson",1745,2022-02-11,Fast Breeder Reactor,Light Water Reactor,Plutonium,3981,Decommissioned
Long-Patterson,"60101 Jennifer Crossroad
Lake Douglas, ME 75296",Hester Inc,1769,1998-07-28,Pressurized Water Reactor,Light Water Reactor,Uranium,3358,Under Construction
Powell-Davis,"802 Bates Passage
New Ericside, ID 49090",Holmes-Valdez,1048,2017-04-11,Fast Breeder Reactor,Light Water Reactor,Plutonium,2043,Operational
Perez-Wiley,"553 Steven Mount Apt. 624
North Brandyfurt, IA 63188","Hudson, Briggs and Brooks",983,2007-02-19,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,4115,Decommissioned
"Hill, Young and Powell","461 Lynch Route
Lake Timothy, OK 99650","Hernandez, Clay and Cordova",1199,2008-01-11,Fast Breeder Reactor,Light Water Reactor,Plutonium,3344,Under Construction
Mcclain-Khan,"322 Danielle Stream
East Rebeccaland, IL 71790","Lopez, Mueller and Norman",506,2002-09-09,Pressurized Water Reactor,Heavy Water Reactor,Uranium,2347,Under Construction
Murray Ltd,"2280 Robert Mall
Lake Toddberg, AL 74152","Hess, Griffin and Harris",748,2002-12-23,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,3092,Decommissioned
"Morgan, Martinez and Koch","919 Hughes Wall Apt. 621
Lake Markmouth, VA 94203","Silva, Harris and Thompson",1401,2006-08-16,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,2775,Decommissioned
Mitchell Group,"1062 Parker Heights Suite 965
North Karenstad, CA 84991","Dunlap, Barker and Wagner",1499,1999-03-10,Fast Breeder Reactor,Heavy Water Reactor,Uranium,1247,Under Construction
Howard-Stewart,"047 Lori Freeway
Jonesbury, PW 01931","Mullins, Wilson and Stephens",1248,2011-03-22,Boiling Water Reactor,Heavy Water Reactor,Plutonium,1201,Operational
Smith PLC,"429 Heather Pike
Lopezfort, FM 54296",House-Perez,760,2015-08-06,Boiling Water Reactor,Heavy Water Reactor,Thorium,2162,Decommissioned
Olson-Tucker,"7207 Renee Islands Suite 663
Port Corey, PR 12163","Smith, Mosley and Harper",1454,2011-06-01,Boiling Water Reactor,Light Water Reactor,Uranium,3069,Operational
Thompson-Hawkins,"676 Nancy Manors Apt. 534
Tanyaside, IN 03500","Rowland, Williams and Webb",1586,1995-11-11,Pressurized Water Reactor,Heavy Water Reactor,Uranium,3113,Under Construction
"Ramirez, Torres and Rose","4342 Aaron Branch
Port Francismouth, MS 54186",Bell-Mendoza,1830,1995-08-21,Fast Breeder Reactor,Light Water Reactor,Uranium,1449,Under Construction
Wilkins-Smith,"9825 Miller Inlet Apt. 115
Lake Andrea, IN 45515",Glass-Hardin,1802,2010-06-02,Fast Breeder Reactor,Light Water Reactor,Uranium,2424,Operational
Wright LLC,"529 Corey Neck Apt. 155
Fieldsfurt, ME 21655",Bailey-Hull,1101,2007-11-24,Boiling Water Reactor,Heavy Water Reactor,Uranium,4847,Operational
Vasquez-Rowe,"21725 Belinda Ridge Apt. 992
South Regina, VI 95141","Paul, Haynes and Nelson",765,2003-11-20,Boiling Water Reactor,Light Water Reactor,Plutonium,1560,Operational
"Olson, Smith and Reid","4367 Brittany Brooks
Wilsonmouth, WV 11836","Cameron, Howard and Gutierrez",934,1997-09-22,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,4494,Decommissioned
Robertson-Taylor,"1053 Denise Pines Suite 547
West William, KS 61913",Fox-Williams,1244,2013-07-19,Boiling Water Reactor,Gas-cooled Reactor,Thorium,4340,Under Construction
Brown Inc,"956 Martha Heights Suite 622
Jenniferview, ND 83715",Anderson Group,1181,1998-02-02,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,2361,Decommissioned
Collier Ltd,"Unit 8946 Box 7790
DPO AP 32822","Rosales, Schultz and Thompson",1440,2003-12-18,Boiling Water Reactor,Light Water Reactor,Thorium,4891,Operational
"Turner, Bowers and Rose","76098 Kayla Station
New Adamville, HI 19957",Kelley Ltd,1286,1996-05-20,Boiling Water Reactor,Gas-cooled Reactor,Thorium,2688,Under Construction
"Evans, Olson and Morgan","9494 Suzanne Forges Apt. 299
North John, NY 75541",Love-Webb,1537,1997-09-23,Pressurized Water Reactor,Light Water Reactor,Uranium,2697,Under Construction
Fischer and Sons,"3137 Anna Hill Suite 706
East Stephanieport, ID 82626",Deleon-Lewis,1008,1998-09-27,Boiling Water Reactor,Heavy Water Reactor,Plutonium,2692,Operational
Harris and Sons,"31371 Jacob Highway
Port Heather, FM 12921","Stanton, Jones and Clark",1520,1994-01-30,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,1829,Decommissioned
Edwards-Norris,"480 Davis Passage Apt. 573
Port Marktown, TN 84608",Clark-Morris,538,2017-02-06,Fast Breeder Reactor,Light Water Reactor,Plutonium,2365,Decommissioned
Cooke-Morrow,"91661 Michelle Walk Apt. 365
East Lindseybury, WA 43351","Perez, Strickland and Diaz",939,2017-07-03,Boiling Water Reactor,Heavy Water Reactor,Uranium,1910,Operational
Cunningham-Foley,"745 Smith Spring Apt. 090
Allenbury, FL 89076",Collins Group,1087,2019-07-05,Fast Breeder Reactor,Heavy Water Reactor,Thorium,1598,Decommissioned
"Martinez, Moss and Baldwin","844 Rivera Forges
West Matthew, NV 87325",Lam Inc,1802,2013-08-14,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,4553,Under Construction
"Henderson, Mason and Gallagher","479 Michael Wall
Duartemouth, CT 33667",Velasquez Inc,973,2014-01-25,Fast Breeder Reactor,Light Water Reactor,Uranium,1538,Operational
"Boyle, Thompson and Hall","7220 Angela Station Suite 975
East Brenda, UT 36011","Henry, Pena and Calderon",639,2017-01-30,Fast Breeder Reactor,Heavy Water Reactor,Thorium,2213,Decommissioned
Rodriguez-Mckee,"11197 Walker Hill
Ericburgh, AK 66582","Johnson, Chan and Huang",1103,1997-07-29,Fast Breeder Reactor,Light Water Reactor,Thorium,4106,Operational
"Leon, Lynch and Smith","333 Tiffany Prairie Suite 739
South John, NC 20220","Compton, Walter and Baker",1657,2022-11-25,Pressurized Water Reactor,Heavy Water Reactor,Uranium,2110,Under Construction
"Greene, Harris and Martinez","65169 Pollard Highway Apt. 591
Lake Josephside, MP 53830",Mccann-Turner,1741,1994-11-24,Fast Breeder Reactor,Light Water Reactor,Thorium,1290,Operational
"Lucero, Wheeler and Evans","5571 Sean Parkway
Antoniohaven, DE 18308","Diaz, Moon and Reid",591,2009-03-10,Boiling Water Reactor,Heavy Water Reactor,Uranium,2099,Operational
Murray Ltd,"3087 Wood Road
New Richardville, UT 44396","Khan, Stout and Garcia",1689,2011-05-28,Boiling Water Reactor,Light Water Reactor,Plutonium,3303,Operational
Martinez-Martin,"73317 Bishop Causeway Suite 673
Brianmouth, MI 69123",Horton-Hill,1533,1999-03-25,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,1897,Operational
"Jones, Olsen and Summers","USNS Clark
FPO AP 41041",Clarke-Jensen,1681,2012-12-23,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,4332,Operational
"Jordan, Hernandez and Mccarthy","41427 Gardner Expressway Suite 437
Lake Daniel, NY 28706","Moreno, Eaton and Garcia",1190,2009-04-25,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,2477,Under Construction
Haynes PLC,"487 Jennifer Pine
Arnoldfurt, NJ 00917",Peterson-Ellis,1792,2017-01-30,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,4084,Operational
Green-Jackson,"9075 Arthur Junction Apt. 590
Thomasburgh, MD 88278",Payne-Harris,1718,2012-06-02,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,2016,Operational
"Tran, Harris and Conner","90120 Andrew Avenue
North Rachel, DC 56504",Arias Ltd,1354,2016-01-22,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,4282,Operational
"Orr, Grant and Rodriguez","1689 Teresa Fields
Port Markton, NY 93991",Andrews-Morrow,831,2022-09-09,Boiling Water Reactor,Gas-cooled Reactor,Thorium,2775,Decommissioned
"Robinson, Thornton and Hernandez","96356 Marcus Island
New Sara, OR 19386","Campbell, Gross and Barber",1592,2022-08-14,Pressurized Water Reactor,Light Water Reactor,Thorium,3788,Decommissioned
Adams Group,"058 Brittany Oval Suite 847
Port Hunter, RI 26464",Levine Inc,981,2012-06-23,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,2445,Operational
Hancock Ltd,"7293 Frank Island Suite 600
East Davidstad, VT 61911",Garcia-Smith,933,2001-07-28,Pressurized Water Reactor,Light Water Reactor,Uranium,3347,Under Construction
Coleman-Wilson,"8336 Wade Squares Apt. 402
Rachaelberg, WA 55768",Perkins PLC,646,2000-01-01,Boiling Water Reactor,Light Water Reactor,Uranium,4517,Operational
Jones Group,"5032 Gallagher Dale Suite 612
Mendezfurt, HI 18056","Turner, Hampton and Gonzalez",1504,1998-02-27,Boiling Water Reactor,Light Water Reactor,Thorium,3726,Operational
Klein-Caldwell,"PSC 8083, Box 0435
APO AE 62437","Hudson, Thomas and Smith",969,1998-08-29,Pressurized Water Reactor,Light Water Reactor,Plutonium,4940,Under Construction
Brown-Yoder,"8517 Velasquez Plaza Suite 321
East Douglas, WI 96685",Cooper-Wells,1338,2016-02-12,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,1425,Decommissioned
"Morales, Mendez and Morgan","83946 Thomas Shore
East Michael, KS 19886","Guzman, Everett and Cameron",908,2008-05-12,Pressurized Water Reactor,Heavy Water Reactor,Uranium,3484,Under Construction
"Mathews, Walsh and Shah","488 Tate Junction Suite 852
South Lindsayside, DC 58935","Morales, Parker and Garrett",1855,2002-12-07,Fast Breeder Reactor,Light Water Reactor,Uranium,1505,Under Construction
Pierce and Sons,"3953 Velazquez Throughway Suite 142
Brownshire, MH 04572",Jacobs-Alvarado,1936,2000-03-05,Fast Breeder Reactor,Light Water Reactor,Uranium,2830,Operational
"Frederick, Lester and Schwartz","539 Taylor Orchard Suite 700
Adamshaven, IL 28825",Taylor-Stark,1244,2011-01-24,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,4931,Decommissioned
Martin-Adams,"Unit 5782 Box 5662
DPO AE 38285",Fowler PLC,576,1995-09-16,Fast Breeder Reactor,Light Water Reactor,Uranium,4691,Under Construction
Sloan-Freeman,"45029 Gonzalez Forge
East Robin, OR 60883",Gonzalez Ltd,1915,2017-09-25,Boiling Water Reactor,Heavy Water Reactor,Uranium,3104,Decommissioned
Burns PLC,"9339 Kaitlyn Estate
Rogersview, GU 51415",Willis-Howard,1024,2015-12-13,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,3792,Decommissioned
Taylor Ltd,"83482 Kristen Walk
Lisaville, AZ 54689",Hudson Inc,738,2000-08-17,Fast Breeder Reactor,Heavy Water Reactor,Thorium,4924,Operational
"Cox, Rios and Arellano","6211 Joshua Ramp
Port Meagan, CA 01590",Figueroa-Brady,820,2021-09-26,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,3079,Operational
